"age","duration","E","O"
18,0,13447.5576923076,152
40,0,10722.2564102563,80
45,0,13603.737179487,67
50,0,15911.596153846,76
55,0,17114.9487179485,83
60,0,10991.8076923075,228
18,1,6960.84615384612,39
40,1,6083.42307692304,20
45,1,7684.76282051277,28
50,1,9164.74999999995,34
55,1,10120.3653846153,51
60,1,7787.19871794866,140
18,2,3999.00641025641,14
40,2,3792.16025641025,10
45,2,4988.90384615383,13
50,2,5949.78205128202,12
55,2,6835.47435897434,26
60,2,6315.21794871793,97
18,3,5295.9294871795,17
40,3,5853.62820512821,13
45,3,8394.42948717949,24
50,3,10252.1730769231,24
55,3,12244.6987179487,47
60,3,15073.5641025641,204
