"duration","E","O"
0,8935.17307692325,50
0.0833333333333333,8543.179487179,71
0.166666666666667,8093.33333333346,28
0.25,7613.38461538468,28
0.333333333333333,7212.92307692263,25
0.416666666666667,6858.60256410265,29
0.5,6497.27564102571,30
0.583333333333333,6165.20512820475,28
0.666666666666667,5881.50000000008,25
0.75,5588.48076923083,24
0.833333333333333,5320.53846153814,29
0.916666666666667,5082.30769230778,14
1,4853.8333333334,21
1.08333333333333,4665.78205128179,16
1.16666666666667,4483.39102564112,6
1.25,4307.35256410263,11
1.33333333333333,4148.71794871772,9
1.41666666666667,4008.71794871803,6
1.5,3866.33333333339,12
1.58333333333333,3731.90384615364,9
1.66666666666667,3607.36538461546,7
1.75,3486.05769230775,12
1.83333333333333,3375.48717948701,7
1.91666666666667,3266.40384615393,5
2,9166.1346153846,30
2.25,8285.96153846151,12
2.5,7532.69230769228,17
2.75,6895.75641025639,13
3,6279.84615384615,10
3.25,5710.24358974358,8
3.5,5218.0641025641,5
3.75,4745.17307692307,8
4,4307.58974358974,11
4.25,3907.35897435896,6
4.5,3527.66025641025,7
4.75,3172.00641025641,8
5,20246.4807692308,40
