"age","duration","E","O"
17,0,199.262820512824,44
30,0,189.20512820513,53
35,0,272.089743589748,50
40,0,455.230769230771,60
45,0,631.910256410258,80
50,0,1014.03205128206,58
55,0,1574.21153846155,40
60,0,5384.03205128206,21
17,0.5,151.641025641027,21
30,0.5,135.685897435899,17
35,0.5,210.410256410259,25
40,0.5,355.865384615387,31
45,0.5,513.038461538462,27
50,0.5,845.660256410259,31
55,0.5,1302.44230769232,10
60,0.5,4619.33333333334,12
17,1,119.538461538463,7
30,1,108.993589743592,10
35,1,162.814102564104,15
40,1,289.070512820514,9
45,1,429.262820512823,19
50,1,717.974358974362,15
55,1,1132.3717948718,14
60,1,3942.28205128205,8
17,1.5,97.2948717948729,4
30,1.5,86.6217948717956,8
35,1.5,130.519230769231,7
40,1.5,241.583333333336,5
45,1.5,363.108974358978,7
50,1.5,615.865384615389,9
55,1.5,977.403846153853,9
60,1.5,3396.69871794874,9
17,2,148.557692307695,6
30,2,124.570512820516,4
35,2,206.410256410258,6
40,2,348.660256410262,11
45,2,566.557692307697,14
50,2,984.685897435907,9
55,2,1575.44871794873,12
60,2,5265.90384615391,5
17,3,231.096153846157,11
30,3,228.15384615385,5
35,3,346.147435897442,8
40,3,619.743589743601,11
45,3,1124.27564102565,16
50,3,1820.69871794874,15
55,3,3219.94871794876,15
60,3,12792.2051282052,10
