"age","duration","E","O"
17,0,5425.90384615379,24
30,0,5084.19871794864,42
36,0,1932.53205128202,19
39,0,3198.50641025635,39
42,0,3391.77564102558,71
45,0,3436.63461538454,58
48,0,3381.49999999994,75
51,0,3579.37820512813,72
54,0,3500.57051282043,84
57,0,3253.51923076916,83
60,0,3458.78205128195,67
17,0.5,3146.28846153847,26
30,0.5,3091.83974358974,47
36,0.5,1194.82692307691,22
39,0.5,1951.53846153845,35
42,0.5,2030.57692307691,59
45,0.5,2105.57692307692,53
48,0.5,2057.30769230768,41
51,0.5,2155.22435897435,56
54,0.5,2118.39743589742,73
57,0.5,1948.43589743588,69
60,0.5,2118.86538461537,68
17,1,1971.46153846154,22
30,1,2136.42948717949,54
36,1,839.685897435898,20
39,1,1371.11538461539,24
42,1,1435.58974358974,50
45,1,1451.1923076923,48
48,1,1461.05769230769,54
51,1,1518.44230769231,40
54,1,1512.92307692308,53
57,1,1385.80128205128,57
60,1,1599.66025641025,37
17,1.5,1237.62820512821,27
30,1.5,1457.35897435897,49
36,1.5,591.756410256414,18
39,1.5,969.346153846157,29
42,1.5,1040.85897435897,49
45,1.5,1048.16666666667,55
48,1.5,1027.39102564102,41
51,1.5,1102.59615384616,44
54,1.5,1112.4423076923,44
57,1.5,1023.04487179487,41
60,1.5,1300.41025641025,24
17,2,809.814102564107,36
30,2,1063.65384615385,32
36,2,421.301282051281,15
39,2,689.410256410261,34
42,2,794.903846153847,41
45,2,800.346153846155,40
48,2,778.897435897437,32
51,2,859.961538461541,38
54,2,900.846153846153,33
57,2,851.185897435898,30
60,2,1257.16666666666,23
17,2.5,555.666666666673,16
30,2.5,829.173076923081,35
36,2.5,291.653846153847,9
39,2.5,543.044871794873,17
42,2.5,617.217948717954,29
45,2.5,654.320512820512,27
48,2.5,636.923076923078,19
51,2.5,698.448717948719,14
54,2.5,766.993589743592,13
57,2.5,731.288461538463,10
60,2.5,1241.16025641026,5
17,3,887.871794871805,21
30,3,1719.66666666669,64
36,3,690.461538461544,14
39,3,1259.29487179488,55
42,3,1576.46794871796,45
45,3,1823.14743589745,39
48,3,1917.29487179489,45
51,3,2177.01923076925,26
54,3,2666.2371794872,33
57,3,2573.92307692309,19
60,3,5265.96794871798,9
