"duration","age","E","O"
0,17,14560.4038461537,7
0.5,17,8721.96794871794,16
1,17,5832.66666666668,13
1.5,17,3901.25000000001,12
2,17,2738.36538461539,20
2.5,17,2031.19871794873,4
3,17,4094.82692307697,15
0,40,4472.51282051273,12
0.5,40,2693.10256410254,11
1,40,1921.61538461538,15
1.5,40,1395.69871794872,14
2,40,1040.71794871795,13
2.5,40,805.557692307697,6
3,40,2038.93589743591,12
0,45,5651.5128205127,9
0.5,45,3453.4423076923,19
1,45,2409.03205128205,16
1.5,45,1731.01923076923,22
2,45,1325.01923076923,12
2.5,45,1087.34615384615,19
3,45,3065.19230769233,34
0,50,5913.48717948705,27
0.5,50,3582.92307692306,35
1,50,2539.94871794872,33
1.5,50,1833.04487179488,33
2,50,1418.38461538462,33
2.5,50,1153.71153846154,22
3,50,3725.94230769233,27
0,55,5586.60256410245,43
0.5,55,3348.5769230769,68
1,55,2380.4358974359,50
1.5,55,1749.57692307692,44
2,55,1447.83333333333,19
2.5,55,1246.91666666667,19
3,55,4366.48717948721,33
0,60,2971.72435897428,279
0.5,60,1812.91666666665,163
1,60,1350.58974358974,118
1.5,60,1062.28205128205,60
2,60,964.84615384615,68
2.5,60,905.705128205129,27
3,60,3499.14102564105,35
0,64,487.057692307676,135
0.5,64,305.948717948715,69
1,64,249.070512820512,44
1.5,64,238.128205128201,24
2,64,292.32051282051,28
2.5,64,335.455128205128,8
3,64,1766.82692307693,18
