"age","duration","E","O"
17,0,3143.2756410256,6
30,0,1875.96153846151,12
35,0,2780.00641025636,21
40,0,3185.24999999993,30
45,0,3270.25641025633,33
50,0,3436.46794871786,61
55,0,3243.33333333325,48
60,0,2024.87179487173,23
17,0.25,2282.62820512819,12
30,0.25,1376.34615384613,24
35,0.25,2038.88461538459,30
40,0.25,2350.56410256407,37
45,0.25,2381.25641025637,45
50,0.25,2477.01923076919,61
55,0.25,2343.26923076919,64
60,0.25,1433.91025641022,25
17,0.5,1757.27564102564,18
30,0.5,1108.40384615384,25
35,0.5,1585.29487179486,40
40,0.5,1842.77564102563,72
45,0.5,1891.98076923076,77
50,0.5,1950.58974358973,96
55,0.5,1832.33974358973,75
60,0.5,1142.61538461537,28
17,0.75,1389.01282051283,21
30,0.75,914.442307692304,37
35,0.75,1298.97435897436,57
40,0.75,1518.89102564102,83
45,0.75,1561.46153846154,87
50,0.75,1632.33333333333,103
55,0.75,1516.23717948717,104
60,0.75,976.249999999996,45
17,1,1099.90384615385,34
30,1,773.096153846152,30
35,1,1079.49358974359,62
40,1,1293.80128205128,83
45,1,1310.46153846154,93
50,1,1378.61538461538,129
55,1,1289.77564102564,116
60,1,851.775641025637,42
17,1.25,871.557692307694,32
30,1.25,634.108974358981,40
35,1.25,902.250000000002,76
40,1.25,1100.07051282051,87
45,1.25,1098.57051282051,103
50,1.25,1161.33333333333,123
55,1.25,1090.66025641026,124
60,1.25,747.88461538461,46
17,1.5,678.17948717949,41
30,1.5,507.987179487181,45
35,1.5,742.717948717947,70
40,1.5,908.814102564102,96
45,1.5,913.749999999993,134
50,1.5,968.012820512828,102
55,1.5,908.839743589741,106
60,1.5,655.724358974357,36
17,1.75,559.448717948721,44
30,1.75,445.666666666668,48
35,1.75,650.801282051284,93
40,1.75,803.333333333338,98
45,1.75,817.269230769233,122
50,1.75,865.03205128205,109
55,1.75,840.737179487178,131
60,1.75,644.685897435895,43
17,2,447.141025641028,35
30,2,368.961538461539,45
35,2,545.955128205128,108
40,2,678.301282051286,142
45,2,704.102564102565,126
50,2,750.583333333334,140
55,2,756.365384615386,139
60,2,631.352564102561,41
17,2.25,362.67307692308,20
30,2.25,319.858974358978,34
35,2.25,467.647435897435,54
40,2.25,588.544871794874,74
45,2.25,620.916666666668,87
50,2.25,667.801282051283,82
55,2.25,691.467948717948,79
60,2.25,625.814102564099,21
17,2.5,305.467948717951,33
30,2.5,285.461538461539,22
35,2.5,407.166666666668,60
40,2.5,523.160256410257,58
45,2.5,569.480769230769,49
50,2.5,606.910256410256,63
55,2.5,648.346153846152,59
60,2.5,627.455128205127,5
17,2.75,250.198717948721,32
30,2.75,250.365384615387,25
35,2.75,352.653846153849,37
40,2.75,462.282051282056,65
45,2.75,517.865384615385,69
50,2.75,546.801282051287,48
55,2.75,598.570512820514,41
60,2.75,613.70512820513,12
17,3,197.45512820513,22
30,3,207.897435897439,25
35,3,303.480769230769,43
40,3,396.621794871797,52
45,3,450.467948717954,54
50,3,488.544871794871,51
55,3,539.692307692309,41
60,3,566.211538461543,7
17,3.25,157.294871794874,11
30,3.25,172.435897435899,16
35,3.25,251.358974358975,49
40,3.25,339.974358974361,43
45,3.25,388.826923076926,47
50,3.25,432.948717948722,32
55,3.25,485.942307692311,26
60,3.25,519.705128205129,9
17,3.5,121.096153846155,17
30,3.5,139.858974358976,20
35,3.5,206.211538461541,38
40,3.5,286.532051282051,38
45,3.5,336.326923076927,38
50,3.5,385.032051282053,32
55,3.5,434.160256410259,32
60,3.5,478.807692307694,13
17,3.75,94.7884615384623,10
30,3.75,110.961538461537,9
35,3.75,169.051282051285,30
40,3.75,243.743589743592,36
45,3.75,295.326923076925,39
50,3.75,338.025641025641,30
55,3.75,396.730769230773,19
60,3.75,445.98717948718,4
17,4,73.5897435897448,8
30,4,91.3589743589767,14
35,4,137.820512820515,30
40,4,203.756410256413,40
45,4,250.993589743591,31
50,4,303.615384615385,19
55,4,352.91025641026,20
60,4,417.628205128207,4
17,4.25,58.2628205128218,4
30,4.25,70.7756410256414,10
35,4.25,115.378205128205,17
40,4.25,169.525641025642,14
45,4.25,213.115384615385,15
50,4.25,267.910256410257,15
55,4.25,308.589743589746,6
60,4.25,385.608974358976,4
17,4.5,185.384615384617,19
30,4.5,276.737179487184,24
35,4.5,538.10256410257,44
40,4.5,814.307692307705,60
45,4.5,1130.13461538462,46
50,4.5,1509.8653846154,31
55,4.5,1848.46153846156,26
60,4.5,2452.01923076925,7
