"age","duration","E","O"
17,0,3102.66666666667,131
26,0,1942.03846153845,86
28,0,2261.79487179485,72
30,0,2501.39743589741,95
32,0,2669.5833333333,86
34,0,2765.87820512817,81
36,0,3074.35256410253,79
38,0,3232.79487179483,91
40,0,3475.12820512816,97
42,0,3618.01282051278,89
44,0,3638.99999999995,96
46,0,3707.55128205122,84
48,0,3562.74358974354,79
50,0,3787.15384615379,73
52,0,3823.51282051277,62
54,0,3779.63461538455,51
56,0,3610.42948717942,45
58,0,3430.85897435892,49
60,0,5577.64743589732,37
17,1,1005.26923076924,107
26,1,741.807692307693,78
28,1,948.205128205129,90
30,1,1086.57051282051,90
32,1,1163.10897435898,109
34,1,1243.02564102564,116
36,1,1316.61538461539,105
38,1,1440.60897435898,123
40,1,1629.57051282052,136
42,1,1640.64102564103,104
44,1,1667.08974358974,103
46,1,1668.07692307692,99
48,1,1640.69230769231,103
50,1,1694.03205128205,84
52,1,1774.76282051283,99
54,1,1766.33333333333,87
56,1,1699.69230769231,63
58,1,1568.18589743589,46
60,1,2900.0705128205,23
17,2,336.108974358977,92
26,2,329.301282051288,66
28,2,437.717948717951,82
30,2,536.685897435899,96
32,2,614.333333333336,88
34,2,672.08974358975,108
36,2,655.108974358973,100
38,2,782.205128205129,137
40,2,840.166666666672,117
42,2,916.012820512817,118
44,2,980.871794871801,106
46,2,969.903846153849,111
48,2,957.698717948721,107
50,2,976.012820512824,101
52,2,1040.51923076923,108
54,2,1124.94230769231,73
56,2,1079.89102564102,71
58,2,1045.48076923077,45
60,2,2498.32692307692,32
17,3,102.814102564104,12
26,3,145.019230769232,24
28,3,202.583333333335,26
30,3,265.141025641029,22
32,3,318.012820512824,41
34,3,352.21794871795,37
36,3,356.141025641029,29
38,3,389.96153846154,35
40,3,471.564102564106,31
42,3,524.878205128211,31
44,3,558.801282051282,38
46,3,585.301282051287,32
48,3,597.275641025646,30
50,3,587.480769230774,26
52,3,692.102564102561,20
54,3,745.80128205129,20
56,3,748.608974358976,8
58,3,727.083333333338,13
60,3,2010.71153846155,10
17,4,39.6474358974363,10
26,4,71.1923076923088,17
28,4,122.019230769233,19
30,4,183.653846153848,18
32,4,221.602564102567,21
34,4,248.487179487183,25
36,4,322.435897435901,19
38,4,338.371794871798,30
40,4,406.429487179493,37
42,4,498.84615384616,21
44,4,572.269230769236,30
46,4,659.519230769233,22
48,4,644.769230769237,28
50,4,745.980769230776,22
52,4,826.705128205138,13
54,4,1023.21794871795,19
56,4,1030.72435897437,9
58,4,964.724358974365,12
60,4,3255.25641025643,6
