"age","duration","E","O"
18,0,439.243589743593,694
30,0,716.19871794873,1141
35,0,1149.36538461541,1742
40,0,1597.01282051285,2528
45,0,2044.32051282054,3167
50,0,2451.52564102567,3493
55,0,2678.89102564105,3526
60,0,1491.83974358976,1611
18,0.25,265.814102564106,343
30,0.25,441.487179487186,629
35,0.25,730.807692307707,966
40,0.25,1006.71153846156,1333
45,0.25,1311.75641025643,1673
50,0.25,1612.78846153849,1968
55,0.25,1812.13461538464,1830
60,0.25,1117.93589743591,948
18,0.5,174.756410256413,184
30,0.5,291.160256410263,313
35,0.5,506.173076923087,480
40,0.5,703.326923076936,668
45,0.5,901.525641025658,904
50,0.5,1143.40384615386,1084
55,0.5,1339.75641025644,1103
60,0.5,905.269230769233,491
18,0.75,118.807692307694,99
30,0.75,213.698717948718,166
35,0.75,370.230769230777,303
40,0.75,530.384615384628,440
45,0.75,671.500000000009,513
50,0.75,868.506410256418,597
55,0.75,1044.67307692309,649
60,0.75,796.128205128207,259
18,1,88.5192307692315,61
30,1,161.589743589745,116
35,1,283.39743589744,171
40,1,410.551282051285,279
45,1,524.089743589747,337
50,1,691.205128205143,408
55,1,857.115384615391,416
60,1,725.55128205128,172
18,1.25,65.3910256410263,40
30,1.25,129.532051282052,80
35,1.25,222.403846153854,133
40,1.25,330.756410256415,179
45,1.25,427.852564102569,246
50,1.25,562.897435897445,262
55,1.25,728.519230769236,305
60,1.25,675.076923076926,141
18,1.5,48.4038461538467,27
30,1.5,104.064102564105,64
35,1.5,174.724358974361,97
40,1.5,269.39102564103,141
45,1.5,360.826923076928,143
50,1.5,475.532051282058,200
55,1.5,618.814102564107,231
60,1.5,634.756410256412,87
18,1.75,36.352564102565,14
30,1.75,82.5576923076918,37
35,1.75,147.884615384617,64
40,1.75,219.102564102566,85
45,1.75,309.666666666672,97
50,1.75,406.307692307694,139
55,1.75,531.942307692314,144
60,1.75,605.923076923078,73
18,2,27.2756410256414,11
30,2,70.0384615384612,24
35,2,122.878205128208,43
40,2,182.044871794874,74
45,2,259.583333333337,94
50,2,353.775641025643,81
55,2,459.532051282057,108
60,2,569.500000000003,54
18,2.25,21.8012820512826,7
30,2.25,56.3141025641024,22
35,2.25,102.807692307693,34
40,2.25,158.41666666667,44
45,2.25,219.326923076928,57
50,2.25,313.416666666668,65
55,2.25,404.769230769236,71
60,2.25,535.16025641026,39
30,2.5,45.8974358974356,18
35,2.5,87.2820512820528,23
40,2.5,137.775641025642,26
45,2.5,183.762820512824,32
50,2.5,276.858974358978,55
55,2.5,359.032051282059,53
60,2.5,495.051282051287,31
30,2.75,36.7371794871807,6
35,2.75,74.2179487179501,23
40,2.75,116.576923076924,29
45,2.75,160.673076923082,35
50,2.75,241.641025641029,29
55,2.75,315.801282051287,45
60,2.75,453.666666666674,20
30,3,29.6538461538465,10
35,3,60.0320512820521,15
40,3,100.570512820516,11
45,3,141.064102564103,18
50,3,211.826923076927,24
55,3,277.987179487182,26
60,3,416.538461538465,17
30,3.25,24.692307692308,6
35,3.25,49.1858974358981,12
40,3.25,88.2820512820522,8
45,3.25,126.147435897436,12
50,3.25,185.42948717949,18
55,3.25,248.108974358979,24
60,3.25,378.871794871799,15
40,3.5,78.3653846153853,11
45,3.5,111.064102564103,11
50,3.5,164.608974358978,11
55,3.5,224.615384615386,18
60,3.5,338.846153846158,10
40,3.75,69.0705128205132,7
45,3.75,97.6666666666682,11
50,3.75,145.301282051283,12
55,3.75,205.461538461543,5
60,3.75,305.846153846156,6
40,4,197.134615384617,14
45,4,280.807692307694,15
50,4,430.198717948723,16
55,4,655.506410256419,27
60,4,1003.4294871795,16
40,5,203.17948717949,5
45,5,311.397435897441,12
50,5,535.730769230776,11
55,5,827.55128205129,11
60,5,1312.48076923079,5
