"age","duration","E","O"
17,0,2004.43589743589,12
30,0,1624.82692307692,12
35,0,1845.01282051281,17
40,0,2051.34615384614,18
45,0,1949.28846153845,20
50,0,1792.60897435896,16
55,0,1782.24999999999,23
17,1,1276.67948717949,26
30,1,1148.11538461538,25
35,1,1316.98076923077,45
40,1,1564.34615384616,40
45,1,1513.03205128205,42
50,1,1407.18589743589,30
55,1,1572.74358974358,24
17,2,732.923076923077,25
30,2,763.641025641025,36
35,2,885.346153846154,46
40,2,1112.8141025641,27
45,2,1103.41025641025,36
50,2,1061.16666666667,27
55,2,1356.76282051282,20
17,3,781.519230769232,15
30,3,953.705128205132,33
35,3,1262.67307692308,37
40,3,1711.07692307693,41
45,3,2005.77564102565,33
50,3,2048.03205128206,27
55,3,3644.27564102565,9
