"age","duration","E","O"
17,0,5474.27564102562,16
40,0,2051.34615384614,9
45,0,1949.28846153845,18
50,0,1792.60897435896,14
55,0,1362.03205128204,20
60,0,421.12179487179,40
17,1,2067.47435897436,11
40,1,837.48717948718,9
45,1,807.814102564102,17
50,1,746.211538461536,12
55,1,590.814102564099,16
60,1,215.916666666667,25
17,1.5,1674.30128205128,15
40,1.5,726.858974358978,15
45,1.5,705.217948717948,11
50,1.5,660.974358974356,14
55,1.5,540.352564102564,17
60,1.5,228.756410256408,27
17,2,1335.08974358974,12
40,2,603.230769230768,9
45,2,595.628205128205,17
50,2,562.878205128202,13
55,2,479.269230769229,16
60,2,223.499999999999,18
17,2.5,1046.82051282051,8
40,2.5,509.583333333333,5
45,2.5,507.78205128205,8
50,2.5,498.288461538463,8
55,2.5,434.46153846154,13
60,2.5,226.051282051281,8
17,3,793.525641025643,11
40,3,410.083333333335,10
45,3,428.538461538461,4
50,3,417.576923076925,13
55,3,382.602564102564,10
60,3,225.673076923077,9
17,3.5,2204.37179487181,11
40,3.5,1300.99358974359,15
45,3.5,1577.23717948719,13
50,3.5,1630.45512820513,16
55,3.5,1778.28846153847,15
60,3.5,1319.35897435898,7
