"age","duration","E","O"
17,0,2291.55128205127,27
35,0,1139.21794871795,14
40,0,1270.17948717948,18
45,0,1195.38461538461,13
50,0,1105.36538461538,14
55,0,1062.35897435897,16
17,0.5,559.833333333335,5
35,0.5,292.58974358974,0
40,0.5,321.40384615384,9
45,0.5,310.884615384607,7
50,0.5,283.897435897432,6
55,0.5,291.249999999994,5
17,0.75,777.878205128205,13
35,0.75,413.205128205128,11
40,0.75,459.762820512822,10
45,0.75,443.01923076923,11
50,0.75,403.34615384615,11
55,0.75,428.641025641024,18
17,1,702.749999999999,17
35,1,381.826923076923,14
40,1,432.121794871795,19
45,1,416.211538461538,20
50,1,383.846153846152,14
55,1,409.03846153846,23
17,1.25,638.480769230768,25
35,1.25,344.416666666668,21
40,1.25,405.365384615385,11
45,1.25,391.602564102565,20
50,1.25,362.365384615384,15
55,1.25,396.429487179486,11
17,1.5,570.28846153846,26
35,1.5,310.730769230769,14
40,1.5,378.4358974359,22
45,1.5,364.871794871796,19
50,1.5,342.339743589743,12
55,1.5,389.474358974358,20
17,1.75,513.275641025643,16
35,1.75,280.006410256409,11
40,1.75,348.423076923078,26
45,1.75,340.346153846152,22
50,1.75,318.634615384613,19
55,1.75,377.801282051281,24
17,2,449.416666666666,23
35,2,258.993589743589,19
40,2,315.147435897435,21
45,2,311.012820512821,16
50,2,292.173076923075,17
55,2,356.923076923076,23
17,2.25,397.416666666668,24
35,2.25,229.26282051282,8
40,2.25,288.083333333333,13
45,2.25,284.615384615383,15
50,2.25,270.705128205127,14
55,2.25,342.711538461537,13
17,2.5,347.096153846153,22
35,2.5,208.365384615385,8
40,2.5,263.98717948718,12
45,2.5,263.192307692308,12
50,2.5,256.532051282052,10
55,2.5,333.134615384616,10
17,2.75,302.634615384616,20
35,2.75,188.72435897436,20
40,2.75,245.596153846154,15
45,2.75,244.589743589742,20
50,2.75,241.756410256411,7
55,2.75,323.99358974359,9
17,3,1735.22435897436,97
35,3,1262.67307692308,78
40,3,1711.07692307693,82
45,3,2005.77564102565,75
50,3,2048.03205128206,42
55,3,3644.27564102565,46
