"age","duration","E","O"
18,0,21765.6923076916,27
30,0,12584.0448717945,40
35,0,17504.4807692302,82
40,0,20219.5384615379,124
45,0,22261.7820512815,135
50,0,23051.8974358969,148
55,0,19227.5320512816,155
59,0,23114.8589743584,127
18,0.333333333333333,8863.73717948728,23
30,0.333333333333333,5765.91025641021,28
35,0.333333333333333,8258.87820512802,64
40,0.333333333333333,10028.019230769,93
45,0.333333333333333,11348.2435897434,112
50,0.333333333333333,11635.7756410254,135
55,0.333333333333333,9899.61538461514,132
59,0.333333333333333,12207.3205128202,114
18,0.666666666666667,3278.71153846143,40
30,0.666666666666667,2149.87820512816,31
35,0.666666666666667,3131.21794871788,62
40,0.666666666666667,3952.07051282045,75
45,0.666666666666667,4707.49358974348,109
50,0.666666666666667,5436.29487179479,153
55,0.666666666666667,4945.98717948712,126
59,0.666666666666667,6387.80769230761,113
18,1,1968.43589743587,28
30,1,1413.45512820512,28
35,1,2066.8717948718,69
40,1,2746.11538461538,57
45,1,3366.55769230768,84
50,1,4022.67307692309,115
55,1,3733.07051282052,131
59,1,5217.28846153845,113
18,1.33333333333333,1261.08333333334,25
30,1.33333333333333,975.205128205116,28
35,1.33333333333333,1446.891025641,54
40,1.33333333333333,1987.5833333333,60
45,1.33333333333333,2473.13461538458,81
50,1.33333333333333,3055.58333333328,78
55,1.33333333333333,2888.79487179483,105
59,1.33333333333333,4403.67948717944,81
18,1.66666666666667,752.03846153845,16
30,1.66666666666667,617.935897435893,19
35,1.66666666666667,928.634615384611,39
40,1.66666666666667,1308.97435897435,50
45,1.66666666666667,1629.1923076923,49
50,1.66666666666667,2114.77564102564,78
55,1.66666666666667,2020.0064102564,72
59,1.66666666666667,3442.50641025642,45
18,2,496.532051282046,13
30,2,412.358974358976,9
35,2,647.679487179488,26
40,2,909.673076923073,35
45,2,1186.38461538462,32
50,2,1572.08974358975,44
55,2,1553.34615384616,36
59,2,2845.08333333333,32
18,2.33333333333333,351.897435897437,6
30,2.33333333333333,307.583333333331,9
35,2.33333333333333,484.211538461528,11
40,2.33333333333333,676.256410256395,11
45,2.33333333333333,918.314102564076,24
50,2.33333333333333,1242.90384615382,23
55,2.33333333333333,1260.22435897434,29
59,2.33333333333333,2426.55128205124,12
18,2.66666666666667,248.314102564102,5
30,2.66666666666667,225.076923076918,5
35,2.66666666666667,368.083333333333,10
40,2.66666666666667,517.160256410262,15
45,2.66666666666667,728.16666666667,16
50,2.66666666666667,1002.86538461539,14
55,2.66666666666667,1041.3076923077,10
59,2.66666666666667,2092.50000000002,6
18,3,910.903846153843,7
30,3,993.115384615391,7
35,3,1792.60897435897,14
40,3,2850.29487179487,19
45,3,4210.71153846154,14
50,3,6234.80769230771,19
55,3,6787.38461538462,14
59,3,16471.7435897436,10
