"age","duration","E","O"
17,0,46542.1282051267,36
40,0,13521.2435897432,20
45,0,18306.2051282046,44
50,0,18996.3012820508,105
55,0,19733.4807692303,231
60,0,15002.2756410253,1068
17,0.25,24107.4487179481,36
40,0.25,7781.11538461521,19
45,0.25,10747.1089743587,60
50,0.25,10953.0961538459,129
55,0.25,11532.6987179485,222
60,0.25,9131.44230769211,905
17,0.5,12616.1410256411,34
40,0.5,4246.39102564098,19
45,0.5,5955.90384615377,54
50,0.5,6322.55128205118,105
55,0.5,6826.17307692296,194
60,0.5,5452.74358974347,609
17,0.75,6423.62820512807,26
40,0.75,2264.08333333329,19
45,0.75,3308.30128205121,37
50,0.75,3852.01923076917,81
55,0.75,4389.57692307686,182
60,0.75,3714.73076923072,347
17,1,4649.32051282048,20
40,1,1757.26923076922,14
45,1,2615.85897435895,27
50,1,3116.69230769229,73
55,1,3608.56410256409,116
60,1,3263.25641025639,294
17,1.25,3507.41025641023,21
40,1.25,1395.79487179487,19
45,1.25,2086.35897435897,30
50,1.25,2544.10256410255,49
55,1.25,3010.10897435897,90
60,1.25,2915.46153846152,212
17,1.5,2563.12820512818,21
40,1.5,1061.9423076923,9
45,1.5,1618.72435897434,16
50,1.5,2029.64102564101,35
55,1.5,2421.7628205128,75
60,1.5,2548.99358974358,136
17,1.75,1787.05128205128,13
40,1.75,751.307692307688,9
45,1.75,1147.9423076923,16
50,1.75,1502.59615384615,23
55,1.75,1818.23076923076,36
60,1.75,2118.96794871795,91
17,2,2404.60256410255,16
40,2,1050.10897435896,9
45,2,1680.60897435896,18
50,2,2234.48076923076,27
55,2,2806.31410256409,52
60,2,3530.73717948716,103
17,2.5,1504.16025641025,8
40,2.5,685.95512820513,6
45,2.5,1152.25641025641,15
50,2.5,1583.3782051282,18
55,2.5,2069.92307692308,23
60,2.5,2812.03846153847,43
17,3,4168.45512820513,8
40,3,2378.46794871795,8
45,3,4210.71153846154,6
50,3,6234.80769230771,16
55,3,8776.1217948718,17
60,3,14483.0064102564,42
