"age","duration","E","O"
18,0,18374.8397435892,32
30,0,10474.5192307689,34
35,0,14527.4102564098,64
40,0,16686.6025641021,104
45,0,18306.2051282046,120
50,0,18996.3012820508,133
55,0,19733.4807692303,171
60,0,15002.2756410253,65
18,0.25,8782.63461538442,27
30,0.25,5599.34615384603,42
35,0.25,7956.37179487157,55
40,0.25,9550.21153846132,75
45,0.25,10747.1089743587,114
50,0.25,10953.0961538459,142
55,0.25,11532.6987179485,133
60,0.25,9131.44230769211,62
18,0.5,4498.35256410262,40
30,0.5,2931.98076923078,41
35,0.5,4229.99999999999,75
40,0.5,5202.19871794865,106
45,0.5,5955.90384615377,129
50,0.5,6322.55128205118,141
55,0.5,6826.17307692296,203
60,0.5,5452.74358974347,79
18,0.75,2252.31410256406,55
30,0.75,1493.98717948715,52
35,0.75,2180.79487179482,92
40,0.75,2760.61538461534,136
45,0.75,3308.30128205121,175
50,0.75,3852.01923076917,233
55,0.75,4389.57692307686,256
60,0.75,3714.73076923072,102
18,1,1552.89743589742,66
30,1,1104.84615384615,51
35,1,1612.0705128205,93
40,1,2136.77564102563,128
45,1,2615.85897435895,171
50,1,3116.69230769229,239
55,1,3608.56410256409,281
60,1,3263.25641025639,118
18,1.25,1119.83974358973,63
30,1.25,845.025641025635,60
35,1.25,1249.15384615384,98
40,1.25,1689.18589743588,144
45,1.25,2086.35897435897,210
50,1.25,2544.10256410255,249
55,1.25,3010.10897435897,298
60,1.25,2915.46153846152,105
18,1.5,782.237179487174,57
30,1.5,623.576923076913,59
35,1.5,926.294871794858,102
40,1.5,1292.96153846153,139
45,1.5,1618.72435897434,178
50,1.5,2029.64102564101,262
55,1.5,2421.7628205128,276
60,1.5,2548.99358974358,107
18,1.75,526.583333333332,39
30,1.75,433.147435897438,42
35,1.75,654.878205128201,76
40,1.75,923.749999999994,141
45,1.75,1147.9423076923,142
50,1.75,1502.59615384615,199
55,1.75,1818.23076923076,176
60,1.75,2118.96794871795,86
18,2,387.147435897434,39
30,2,320.237179487181,27
35,2,501.608974358971,57
40,2,704.615384615378,86
45,2,913.961538461536,95
50,2,1208.89102564103,119
55,2,1506.14743589743,140
60,2,1853.98076923077,58
18,2.25,302.647435897431,26
30,2.25,259.692307692305,19
35,2.25,407.365384615382,41
40,2.25,571.397435897427,60
45,2.25,766.647435897421,71
50,2.25,1025.58974358973,83
55,2.25,1300.16666666666,93
60,2.25,1676.75641025639,36
18,2.5,229.23717948718,10
30,2.5,202.403846153845,15
35,2.5,325.134615384614,27
40,2.5,450.711538461538,66
45,2.5,621.153846153844,42
50,2.5,850.544871794873,51
55,2.5,1101.98717948718,61
60,2.5,1475.21794871795,27
18,2.75,177.71153846154,10
30,2.75,162.685897435894,7
35,2.75,265.865384615382,22
40,2.75,376.365384615386,14
45,2.75,531.102564102563,30
50,2.75,732.833333333329,41
55,2.75,967.935897435902,45
60,2.75,1336.82051282052,16
18,3,910.903846153843,32
30,3,993.115384615391,22
35,3,1792.60897435897,62
40,3,2850.29487179487,70
45,3,4210.71153846154,75
50,3,6234.80769230771,99
55,3,8776.1217948718,76
60,3,14483.0064102564,29
