"age","duration","E","O"
18,0,21765.6923076916,123
30,0,12584.0448717945,53
35,0,17504.4807692302,45
40,0,20219.5384615379,51
45,0,22261.7820512815,36
50,0,23051.8974358969,47
55,0,14498.4166666664,23
58,0,27843.9743589737,25
18,0.333333333333333,8863.73717948728,229
30,0.333333333333333,5765.91025641021,91
35,0.333333333333333,8258.87820512802,121
40,0.333333333333333,10028.019230769,128
45,0.333333333333333,11348.2435897434,111
50,0.333333333333333,11635.7756410254,97
55,0.333333333333333,7471.4999999998,36
58,0.333333333333333,14635.4358974355,40
18,0.666666666666667,3278.71153846143,203
30,0.666666666666667,2149.87820512816,85
35,0.666666666666667,3131.21794871788,99
40,0.666666666666667,3952.07051282045,129
45,0.666666666666667,4707.49358974348,98
50,0.666666666666667,5436.29487179479,87
55,0.666666666666667,3703.04487179482,54
58,0.666666666666667,7630.74999999991,58
18,1,1968.43589743587,124
30,1,1413.45512820512,62
35,1,2066.8717948718,85
40,1,2746.11538461538,90
45,1,3366.55769230768,90
50,1,4022.67307692309,81
55,1,2792.48076923077,43
58,1,6157.87820512819,38
18,1.33333333333333,1261.08333333334,90
30,1.33333333333333,975.205128205116,56
35,1.33333333333333,1446.891025641,79
40,1.33333333333333,1987.5833333333,92
45,1.33333333333333,2473.13461538458,99
50,1.33333333333333,3055.58333333328,70
55,1.33333333333333,2160.67307692305,48
58,1.33333333333333,5131.80128205123,35
18,1.66666666666667,752.03846153845,40
30,1.66666666666667,617.935897435893,38
35,1.66666666666667,928.634615384611,52
40,1.66666666666667,1308.97435897435,58
45,1.66666666666667,1629.1923076923,62
50,1.66666666666667,2114.77564102564,70
55,1.66666666666667,1497.7564102564,26
58,1.66666666666667,3964.75641025642,32
18,2,496.532051282046,25
30,2,412.358974358976,29
35,2,647.679487179488,24
40,2,909.673076923073,34
45,2,1186.38461538462,41
50,2,1572.08974358975,32
55,2,1141.89102564103,23
58,2,3256.53846153846,19
18,2.33333333333333,351.897435897437,11
30,2.33333333333333,307.583333333331,18
35,2.33333333333333,484.211538461528,19
40,2.33333333333333,676.256410256395,25
45,2.33333333333333,918.314102564076,25
50,2.33333333333333,1242.90384615382,28
55,2.33333333333333,915.698717948705,13
58,2.33333333333333,2771.07692307688,13
18,2.66666666666667,248.314102564102,13
30,2.66666666666667,225.076923076918,16
35,2.66666666666667,368.083333333333,17
40,2.66666666666667,517.160256410262,13
45,2.66666666666667,728.16666666667,14
50,2.66666666666667,1002.86538461539,15
55,2.66666666666667,757.23076923078,11
58,2.66666666666667,2376.57692307694,5
18,3,910.903846153843,9
30,3,993.115384615391,15
35,3,1792.60897435897,30
40,3,2850.29487179487,24
45,3,4210.71153846154,23
50,3,6234.80769230771,28
55,3,4976.82692307693,19
58,3,18282.3012820513,11
